model,dataset,category,seed,phase,ctype,severity,rescue,image_AUROC,training
PaDiM,MVTec-AD,bottle,42,baseline,clean,none,none,1.0,clean
PaDiM,MVTec-AD,bottle,42,degradation,low_light,mild,none,0.5,clean
PaDiM,MVTec-AD,bottle,42,degradation,low_light,moderate,none,0.5,clean
PaDiM,MVTec-AD,bottle,42,degradation,low_light,severe,none,0.5,clean
PaDiM,MVTec-AD,bottle,42,rescue,low_light,severe,CLAHE,0.5,clean
PaDiM,MVTec-AD,bottle,42,rescue,low_light,severe,Retinex,0.5,clean
PaDiM,MVTec-AD,bottle,42,degradation,gaussian_blur,mild,none,0.997619092464447,clean
PaDiM,MVTec-AD,bottle,42,degradation,gaussian_blur,moderate,none,0.811904788017273,clean
PaDiM,MVTec-AD,bottle,42,degradation,gaussian_blur,severe,none,0.5809524059295654,clean
PaDiM,MVTec-AD,bottle,42,rescue,gaussian_blur,severe,Wiener,0.5,clean
PaDiM,MVTec-AD,bottle,42,degradation,motion_blur,mild,none,0.8999999761581421,clean
PaDiM,MVTec-AD,bottle,42,degradation,motion_blur,moderate,none,0.6952381134033203,clean
PaDiM,MVTec-AD,bottle,42,degradation,motion_blur,severe,none,0.5325397253036499,clean
PaDiM,MVTec-AD,bottle,42,rescue,motion_blur,severe,Wiener (Motion PSF),0.5,clean
PaDiM,MVTec-AD,bottle,42,degradation,sensor_noise,mild,none,0.5,clean
PaDiM,MVTec-AD,bottle,42,degradation,sensor_noise,moderate,none,0.5,clean
PaDiM,MVTec-AD,bottle,42,degradation,sensor_noise,severe,none,0.5,clean
PaDiM,MVTec-AD,bottle,42,rescue,sensor_noise,severe,NLM Denoise,0.5,clean
PaDiM,MVTec-AD,bottle,42,degradation,fog_haze,mild,none,0.4174603223800659,clean
PaDiM,MVTec-AD,bottle,42,degradation,fog_haze,moderate,none,0.5825396776199341,clean
PaDiM,MVTec-AD,bottle,42,degradation,fog_haze,severe,none,0.644444465637207,clean
PaDiM,MVTec-AD,bottle,42,rescue,fog_haze,severe,Dehaze (Dark Channel),0.5218254327774048,clean
PaDiM,MVTec-AD,bottle,123,baseline,clean,none,none,0.9984126687049866,clean
PaDiM,MVTec-AD,bottle,123,degradation,low_light,mild,none,0.5,clean
PaDiM,MVTec-AD,bottle,123,degradation,low_light,moderate,none,0.5,clean
PaDiM,MVTec-AD,bottle,123,degradation,low_light,severe,none,0.5,clean
PaDiM,MVTec-AD,bottle,123,rescue,low_light,severe,CLAHE,0.5,clean
PaDiM,MVTec-AD,bottle,123,rescue,low_light,severe,Retinex,0.5,clean
PaDiM,MVTec-AD,bottle,123,degradation,gaussian_blur,mild,none,0.9833333492279052,clean
PaDiM,MVTec-AD,bottle,123,degradation,gaussian_blur,moderate,none,0.8476189970970154,clean
PaDiM,MVTec-AD,bottle,123,degradation,gaussian_blur,severe,none,0.764285683631897,clean
PaDiM,MVTec-AD,bottle,123,rescue,gaussian_blur,severe,Wiener,0.5,clean
PaDiM,MVTec-AD,bottle,123,degradation,motion_blur,mild,none,0.9873015880584716,clean
PaDiM,MVTec-AD,bottle,123,degradation,motion_blur,moderate,none,0.8841269612312317,clean
PaDiM,MVTec-AD,bottle,123,degradation,motion_blur,severe,none,0.4444444477558136,clean
PaDiM,MVTec-AD,bottle,123,rescue,motion_blur,severe,Wiener (Motion PSF),0.5,clean
